Time,Car,X,Y,"Distance to BS(4982,905)"
12982,4915,5223,535,441
12983,4915,4922,754,162
12984,4915,4621,963,365
12988,28,4845,798,172
12989,28,4894,752,175
12990,28,4974,883,22
12999,4916,5408,400,660
13000,4916,5139,591,350
13001,4916,4867,787,164
13002,4916,4534,1032,465
13005,1255,5484,346,751
13006,1255,5122,605,331
13007,1255,4867,792,160
13007,2129,4655,924,327
13008,2129,4905,767,156
13009,2129,5070,1135,246
13012,1256,5014,1052,150
13012,1395,4809,789,207
13013,1256,4892,794,142
13013,1395,5168,551,400
13014,1256,4647,945,336
13017,2499,5302,485,527
13018,2499,5064,655,262
13019,2499,4656,947,328
13021,121,4605,955,380
13022,121,4854,773,182
13023,4560,5193,553,410
13023,121,4853,773,183
13024,4560,4904,756,167
13024,121,4948,711,196
13025,4560,4560,1017,436
13025,121,5304,452,555
13028,5089,4985,1017,112
13029,5089,4932,798,117
13030,5089,5079,1121,237
13034,4195,4813,810,193
13035,4195,4849,779,182
13036,4195,4912,725,192
13037,4839,5241,526,459
13037,4195,5296,458,546
13038,4839,4971,715,189
13039,4839,4951,730,176
13040,4839,4951,730,176
13040,1316,4850,611,321
13041,1316,5119,1266,386
13041,1597,4969,309,595
13041,4839,4951,730,176
13042,1597,4968,322,582
13042,4839,4847,804,168
13043,1597,4969,322,582
13044,1597,4970,322,582
13045,1597,4968,322,582
13046,1597,4969,322,582
13047,1597,4969,322,582
13048,1597,4969,322,582
13049,1597,4969,319,586
13049,2438,4523,1024,474
13050,2226,4565,992,425
13050,1597,4969,317,587
13050,2438,4819,794,196
13051,1597,4970,317,587
13051,2438,4863,769,179
13051,2226,4801,823,198
13052,5279,4567,986,421
13052,1597,4970,317,587
13052,2226,4853,789,173
13052,2438,4863,769,179
13053,1597,4974,319,585
13053,2438,4863,769,179
13053,2226,4849,789,175
13053,5279,4816,796,198
13054,5279,4872,756,184
13054,2438,4937,719,190
13054,1597,4971,313,591
13054,2226,4873,779,166
13055,5279,5163,553,396
13055,1597,4970,309,595
13055,2226,4880,771,167
13055,1661,5447,367,710
13055,2438,5238,493,485
13056,5279,5475,328,758
13056,1597,4970,309,595
13056,1661,5049,655,258
13056,2226,4965,870,38
13057,1597,4971,309,595
13057,2226,5074,1189,298
13057,1661,4969,719,186
13058,1597,4973,307,597
13058,1661,4969,717,187
