Time,Car,X,Y,"Distance to BS(4982,905)"
30248,3058,4794,493,452
30249,3058,5020,1017,118
30253,4053,5248,520,468
30254,4053,5213,541,431
30255,4053,5200,539,425
30255,2845,4610,937,373
30256,4053,5200,539,425
30256,2845,4838,771,195
30257,4053,5084,622,300
30257,2845,4884,738,192
30258,4053,4807,790,208
30258,2845,5216,506,462
30259,4053,4555,980,433
30260,4053,4545,1034,455
30262,3424,4895,727,197
30263,3424,5084,1191,303
30264,1629,4767,1061,265
30265,1629,4629,972,359
30283,4359,4804,812,199
30284,4359,4842,781,186
30285,4359,4841,783,186
30286,4359,4841,783,186
30287,4359,4943,715,193
30288,4359,5308,448,561
30295,2846,5414,386,675
30296,2846,5206,535,432
30297,2846,5205,539,428
30298,5125,4912,837,97
30298,2846,5207,539,429
30299,5125,4687,906,294
30299,2846,5029,661,248
30300,2846,4737,874,246
30302,5548,5476,367,730
30303,5548,5476,367,730
30303,3641,5342,943,362
30304,3641,5190,556,405
30304,5548,5467,373,719
30305,4807,4675,908,306
30305,1127,5336,442,582
30305,3641,5499,315,784
30305,5548,5304,471,540
30306,1127,4993,690,214
30306,5548,5210,535,434
30306,4807,4968,698,207
30307,5548,5210,535,434
30307,4807,5321,431,582
30307,1127,4937,730,179
30308,4000,5095,1274,386
30308,5548,5136,475,456
30308,698,4715,870,269
30308,1127,4937,730,179
30309,1127,4937,730,179
30309,4000,4959,941,43
30309,698,4837,775,194
30310,1127,4937,730,179
30310,4000,4990,899,10
30310,698,4838,785,186
30311,4000,5101,1191,310
30311,698,4872,756,184
30311,1127,4854,785,174
30312,698,5144,549,390
30312,1127,4586,988,404
30313,698,5424,361,700
30316,2906,5065,1177,285
30317,2906,4883,740,191
30322,1190,4757,852,230
30322,5623,5257,512,479
30323,5623,5082,632,290
30323,1190,4885,748,183
30324,1190,5163,545,403
30324,5623,4754,870,229
30326,1547,4811,798,201
30327,1547,4828,783,195
30328,1547,4828,783,195
30329,1547,4923,730,183
30330,1998,4590,963,395
30330,1547,5208,512,453
30331,1871,5445,379,701
30331,1914,5333,456,569
30331,1998,4849,763,193
30332,1914,5218,535,438
30332,1871,5212,541,430
30332,1998,4848,763,194
30333,1914,5122,607,329
30333,1871,5212,545,427
30333,1998,4848,763,194
30333,4489,5378,437,613
30334,1998,4848,763,194
30334,1914,4789,843,201
30334,4489,5232,543,439
30334,1871,5212,545,427
30335,1998,4939,701,207
30335,1871,5048,669,244
30335,3522,4752,862,233
30335,1267,5227,537,441
30335,4489,5165,584,369
30336,1998,5304,446,560
30336,1871,4661,934,321
30336,1267,4970,719,185
30336,4489,4873,781,164
30336,3522,4894,752,175
30337,1267,4677,926,305
30337,4489,4569,997,423
30337,3522,5029,1023,127
30339,1815,5429,392,680
30340,1815,5206,553,417
30341,1815,5112,607,325
30342,1815,4849,804,166
30343,1815,4549,990,441
30345,77,5422,406,665
30345,802,4824,794,191
30346,77,5227,531,446
30346,802,4834,760,206
30346,3144,5005,1040,137
30347,77,5110,620,311
30347,3144,4776,533,424
30347,7,5186,556,403
30347,802,4905,723,197
30348,77,4743,874,240
30348,7,4859,746,200
30348,802,5262,473,514
30349,7,4567,951,416
30352,3913,5486,330,764
30353,3913,5154,585,362
30354,3913,4905,761,162
30355,3913,4643,943,340
30361,3345,5283,487,515
30362,3345,5196,551,413
30363,3345,5196,551,413
30364,3345,5196,551,413
30365,3345,5050,651,262
30365,2762,4544,988,445
30366,3345,4787,850,201
30366,2762,4828,789,192
30366,2748,4768,845,221
30367,2748,4844,781,184
30367,2762,4918,775,144
30368,2748,4844,783,183
30368,2762,5074,1094,210
30369,3382,5475,346,745
30369,2748,4845,783,182
30369,4245,4559,988,430
30370,3382,5240,518,464
30370,2748,4845,785,181
30370,4245,4823,785,198
30371,2748,4937,717,192
30371,3382,5084,628,294
30371,4245,4907,730,189
30372,2748,5181,543,412
30372,3382,4767,850,221
30372,4245,5183,531,424
30373,2748,5484,324,767
30373,4245,5472,322,760
30379,2995,4550,990,439
30380,2995,4808,804,200
30381,2995,4834,783,191
30381,972,5430,371,697
30382,2995,4836,785,188
30382,972,5202,522,441
30383,2995,4910,738,180
30383,972,5043,634,277
30384,972,4808,812,196
30384,2995,5237,500,478
30388,110,5333,464,563
30389,110,5050,647,266
30390,3361,4839,1168,299
30390,110,4722,866,262
30391,3361,4956,941,44
30392,3361,4899,779,150
30393,3361,4899,779,150
30394,3199,4560,976,427
30394,3361,5054,630,283
30395,3199,4819,781,203
30395,3361,5374,400,639
30396,3199,5070,589,327
30397,2119,4720,1247,431
30397,3199,5379,373,664
30397,1610,5257,510,481
30398,1610,5210,545,425
30398,2119,4882,1129,245
30399,1610,5210,547,424
30399,2119,4949,918,35
30400,1610,5210,547,424
30400,2119,5041,630,280
30400,364,4786,818,214
30401,2119,5383,380,660
30401,364,4857,760,191
30401,1610,5056,653,262
30402,364,4849,775,185
30402,1610,4700,905,281
30403,364,4849,775,185
30404,364,4849,775,185
30405,4440,5478,351,743
30405,364,4950,694,213
30405,5126,5065,1218,324
30406,5126,4933,914,49
30406,4440,5206,547,422
30406,364,5292,456,545
30407,5126,4902,818,118
30407,4440,5016,682,225
30408,5126,4902,818,118
30408,4440,4631,957,354
30408,5325,5417,398,667
30408,1240,4728,872,255
30409,1240,4948,821,89
30409,5126,4902,818,118
30409,5325,5069,655,264
30410,1240,5097,1220,335
30410,5126,4903,775,151
30410,5325,4954,744,162
30411,5126,4903,771,154
30411,5325,4949,748,159
30412,5126,5052,622,291
30412,5325,4950,750,157
30413,5126,5308,456,554
30413,5325,4869,789,161
30417,3614,5079,1229,339
30417,93,5048,1137,241
30418,3614,4841,640,300
30418,93,4807,582,367
30431,892,5460,369,718
30432,892,5225,533,443
30433,892,5207,545,424
30434,892,5207,545,424
30435,892,5110,613,318
30436,892,4782,850,206
30439,210,5096,1268,381
30440,210,4883,740,191
30441,210,4842,647,292
30453,1174,5040,1139,241
30454,1174,4902,804,128
30455,1174,4646,937,337
30459,4815,4579,957,406
30460,4815,4579,957,406
30461,4815,4579,957,406
30462,4815,4566,937,416
30463,4815,4569,939,414
30464,4815,4600,963,386
30465,4815,4702,881,280
30466,4815,4894,785,148
30467,4815,4872,789,159
30468,4815,4976,611,293
30469,4815,5005,324,580
30470,47,4748,852,239
30471,2989,5374,429,616
30471,47,4843,771,192
30472,2989,5210,543,427
30472,47,4843,771,192
30473,2989,5086,630,293
30473,47,4932,707,203
30474,47,5149,551,391
30474,2989,4726,893,255
30474,5386,5407,406,655
30475,5386,5151,618,332
30476,5386,4932,789,126
30477,5386,5081,1181,294
30483,2868,5253,514,475
30484,2868,5210,541,429
30485,2868,5105,607,322
30486,2868,4935,792,121
30487,2868,5067,1104,216
30489,471,4768,825,227
30490,471,4839,777,191
30491,471,4839,777,191
30492,471,4917,713,202
30493,471,5242,458,517
30501,996,5413,398,665
30502,3399,5429,384,686
30502,996,5216,539,434
30503,996,5066,642,276
30503,3399,5186,560,400
30504,996,4784,843,206
30504,3399,4867,792,160
30505,3399,4550,1013,444
30507,4653,5481,348,748
30508,505,4909,821,110
30508,4653,5211,543,428
30509,505,4777,524,432
30509,4653,5210,543,427
30510,4653,5210,543,427
30511,4653,5052,655,259
30512,4653,4700,908,281
30513,659,5056,1158,264
30513,1241,5095,1243,356
30513,3914,5034,1102,204
30514,1241,4873,700,231
30514,1707,4667,906,314
30514,3914,4812,582,364
30514,659,4898,767,160
30515,659,4898,767,160
30515,1707,4900,740,183
30516,1707,5251,481,501
30517,5517,5402,406,652
30518,5517,5090,628,296
30519,5517,4735,883,247
30522,1023,4744,858,241
30523,1023,4842,655,285
30524,1023,4792,539,411
30525,1023,4900,729,193
30526,1023,5156,558,387
30527,1023,5064,344,566
30533,1268,4678,897,303
30534,1268,4892,746,182
30535,1268,5125,576,358
30536,1268,5024,659,249
30536,2858,4749,848,238
30537,1268,4934,705,204
30537,2858,4848,771,188
30537,246,5025,1079,179
30538,2200,4666,1295,502
30538,246,4841,640,300
30538,1268,4933,711,199
30538,2858,4849,771,187
30539,2200,4849,1158,285
30539,1268,4867,761,183
30539,2858,5061,616,298
30540,1268,4539,1036,461
30540,2858,5430,351,712
30540,2200,4947,1079,177
30541,2200,4980,1073,168
30542,2200,5003,1077,173
30543,2200,5004,1075,171
30544,2200,5004,1075,171
30545,2200,4999,1086,182
30546,2200,4994,1082,178
30547,2200,4995,1071,166
30548,2200,4981,1069,164
30549,2200,4971,1077,172
30549,1671,4841,1229,354
30550,1671,4691,922,291
30550,2200,4933,889,51
30551,2200,4752,876,231
30551,2869,4858,777,177
30551,1842,4743,1024,266
30552,1842,4630,970,357
30552,2869,5099,599,327
30553,2869,5432,359,707
30563,3238,5106,423,497
30564,3238,5150,498,439
30565,3238,5109,611,320
30566,3238,4937,814,101
30567,3238,5087,1189,303
30569,94,5193,551,412
30570,94,4889,775,159
30571,94,4515,1040,485
30571,5365,5483,351,746
30572,5365,5276,497,503
30573,424,4759,835,232
30573,5365,5258,520,473
30574,156,5397,406,649
30574,424,4839,769,196
30574,5365,5257,522,471
30575,5365,5257,522,471
30575,156,5126,599,337
30575,424,4892,736,190
30576,156,4824,814,181
30576,3011,4506,1032,492
30576,424,5114,570,359
30576,5365,5258,522,472
30577,424,5449,348,727
30577,5365,5258,522,472
30577,3011,4737,858,248
30577,156,4529,1032,470
30578,5365,5258,520,473
30578,3011,4852,779,180
30579,78,5046,1133,237
30579,5365,5215,543,430
30579,3011,4852,779,180
30580,3021,5134,1287,412
30580,3011,4852,779,180
30580,5365,5213,541,431
30580,78,4909,742,177
30581,78,5154,560,384
30581,5365,5035,669,241
30581,3011,4975,700,205
30581,3021,4954,843,67
30582,3021,4867,614,311
30582,78,5407,377,677
30582,3011,5149,587,358
30582,5365,4721,877,262
30583,3011,5157,574,374
30584,3011,5258,701,343
30585,1788,5349,934,368
30585,3011,5356,966,379
30586,1788,5216,630,360
30586,3011,5403,1220,526
30587,3011,5425,1280,581
30587,1788,5423,371,692
30587,646,4660,1299,509
30588,4020,4658,908,323
30588,646,4948,1081,179
30588,3011,5412,1253,553
30589,646,4949,934,43
30589,4020,4848,775,186
30589,3011,5342,1024,379
30590,3011,5307,874,326
30590,4020,4848,783,180
30590,646,4905,767,156
30591,3309,4969,959,55
30591,646,4908,771,152
30591,3011,5191,591,376
30591,4020,4852,783,177
30592,3309,4741,380,576
30592,4112,4651,930,331
30592,3011,4953,696,210
30592,4020,4995,674,230
30592,646,5024,649,258
30593,4020,5149,566,377
30593,646,5312,448,563
30593,3011,4836,790,185
30593,4112,4879,761,175
30594,4020,5152,574,372
30594,4112,4890,752,177
30594,1191,4515,1026,482
30594,3011,4556,1001,436
30595,4020,5046,665,248
30595,1191,4831,790,189
30595,4112,4981,910,5
30596,4112,5115,1289,407
30596,1191,4839,783,187
30596,4020,4973,698,207
30597,1191,4850,785,177
30597,4020,4939,715,194
30598,1191,4849,787,177
30598,4020,4777,839,214
30599,3965,4759,845,229
30599,2422,4676,908,305
30599,1191,5034,643,266
30600,2422,4978,671,233
30600,1191,5404,379,674
30600,3965,4849,781,181
30600,2959,4501,1024,494
30601,3965,4849,783,179
30601,2422,5301,448,556
30601,2959,4817,810,189
30602,3965,4849,783,179
30602,2959,4857,785,173
30603,2959,4782,854,205
30603,3965,4847,785,180
30604,3965,4959,696,210
30604,319,4570,976,417
30605,319,4844,779,186
30605,3965,5288,462,538
30606,319,5105,578,349
30607,319,5369,406,631
30610,4591,5378,415,629
30610,3559,4678,897,303
30611,4591,5149,589,356
30611,3559,4965,682,222
30612,2133,4597,966,389
30612,3559,5023,628,279
30612,4591,4769,843,220
30613,2133,4850,781,180
30613,2077,4576,968,410
30613,3559,5021,630,277
30614,2077,4715,881,267
30614,3559,5020,624,283
30614,2133,4852,781,179
30615,2133,4852,781,179
30615,2077,4862,765,183
30615,3559,5019,622,284
30616,2133,4852,781,179
30616,3559,5019,618,288
30616,2077,4862,765,183
30617,3559,5021,622,285
30617,2077,4958,701,204
30617,2133,4999,671,234
30618,2133,5358,413,618
30618,2077,5316,437,574
30618,3559,5021,618,288
30619,3559,5031,613,296
30620,3559,5149,497,440
30621,3559,5059,307,602
30626,455,5328,469,556
30627,4531,4831,789,190
30627,455,5197,551,414
30627,2231,4786,823,212
30628,455,5197,551,414
30628,1467,4758,1032,257
30628,4531,4895,752,175
30628,2231,4873,760,181
30628,699,5316,462,554
30629,1467,4600,974,387
30629,699,5077,630,290
30629,455,5163,570,380
30629,4531,5203,526,439
30629,2231,5161,553,395
30629,5137,5251,514,474
30630,4531,5469,332,751
30630,5137,5054,655,259
30630,455,4910,740,179
30630,699,4771,845,219
30631,455,4606,963,379
30631,5137,4797,841,195
30632,5137,4572,997,419
30633,3237,4766,827,229
30634,2996,5359,437,601
30634,3237,4844,769,192
30635,2996,5206,589,386
30635,3237,5001,651,254
30636,3237,5455,334,741
30636,2996,5353,928,372
30637,2996,5424,1282,581
30644,519,4939,879,49
30644,3171,5101,1264,379
30645,4405,4807,802,202
30645,3171,4890,756,174
30645,519,4889,761,170
30645,1214,5101,1274,388
