Time,Car,X,Y,"Distance to BS(4982,905)"
21611,600,4632,928,350
21612,600,4532,1036,467
21613,600,4546,1030,453
21614,600,4540,1032,459
21620,3103,4696,887,286
21621,3103,4853,777,181
21622,3103,4843,787,181
21623,5951,5212,549,423
21623,6078,4751,862,234
21623,3103,4860,763,185
21624,5951,5216,543,430
21624,3103,4863,760,187
21624,6387,5493,336,764
21624,6078,4873,769,173
21625,6387,5276,460,533
21625,6078,5024,995,100
21625,3103,4984,883,21
21625,5951,5198,560,406
21626,3103,5129,1262,386
21626,5951,4859,808,155
21627,5951,4506,1073,504
21628,429,4703,901,278
21629,429,4887,775,160
21630,429,4909,775,148
21631,429,5044,1055,163
21633,13,4753,835,238
21634,13,4827,763,209
21635,13,5034,628,281
21636,650,5131,467,461
21636,13,5378,400,641
21637,650,5149,495,442
21638,650,5149,495,442
21639,650,5149,495,442
21639,3001,5363,417,618
21640,3001,5203,529,435
21640,650,5080,645,277
21641,650,4939,796,116
21641,3001,4934,719,191
21642,650,5101,1220,337
21642,3001,4653,924,328
21644,4985,5065,1183,290
21645,4985,4990,1026,122
21646,4985,4990,1026,122
21647,4985,4934,887,50
21648,4985,4811,831,186
21649,4985,4516,1036,483
21650,1688,4779,841,211
21651,1688,4844,794,176
21652,1688,4844,792,177
21653,4943,5361,438,600
21653,1688,4883,760,175
21654,4943,5033,669,241
21654,1657,4725,1245,426
21654,1688,4885,761,172
21655,1688,5029,1036,139
21655,4943,4942,732,176
21655,1657,4782,1212,366
21656,1657,4696,935,287
21656,4943,4942,732,176
21657,4943,4938,734,175
21657,1657,4514,1055,491
21658,4629,5056,1187,292
21658,4943,4932,727,184
21659,3990,4678,912,303
21659,4943,4696,910,285
21659,4629,4904,831,106
21660,5966,4590,968,396
21660,4629,4732,885,250
21660,3990,4857,787,171
21661,5966,4927,806,112
21661,3990,4656,943,327
21662,5966,5075,1173,284
21663,5809,4637,939,346
21664,5809,4834,783,191
21665,5809,4853,684,255
21666,5809,4859,698,240
