Time,Car,X,Y,"Distance to BS(4982,905)"
34575,4471,5412,392,669
34576,4471,5220,522,450
34576,2231,5409,400,661
34577,2231,5233,529,451
34577,4471,5097,611,315
34578,2231,5048,657,256
34578,4471,4761,847,228
34579,2231,4944,725,183
34579,703,5211,531,438
34580,2231,4950,736,171
34580,703,5120,597,337
34581,703,4863,785,168
34581,2231,4950,736,171
34581,3197,5067,1218,324
34582,2231,4950,736,171
34582,3197,4924,856,75
34583,2231,4887,783,154
34583,3197,4749,847,239
34584,2231,4630,963,356
34587,2619,4581,980,407
34588,2619,4848,796,171
34589,2619,4867,777,171
34590,2619,4885,765,169
34591,2619,4940,800,112
34592,2619,5101,1222,339
34594,2997,5322,464,556
34595,2997,5191,556,406
34596,2997,4955,727,179
34596,1054,4939,862,60
34597,2997,4594,982,395
34597,1054,4939,862,60
34599,968,5257,502,487
34600,968,5210,537,432
34601,968,5089,626,298
34602,968,4789,837,203
34605,6515,5046,1173,276
34606,4511,5294,593,441
34606,6515,4910,841,95
34607,4511,5008,659,246
34607,6515,4718,897,263
34607,2488,5362,427,610
34608,2488,5009,674,231
34608,4511,4801,773,223
34609,4511,4546,1028,452
34609,2488,4937,734,175
34610,2488,4937,734,175
34611,2488,4937,734,175
34612,2488,4937,734,175
34613,936,5281,485,515
34613,2488,4893,773,158
34614,936,5006,680,225
34614,2488,4662,926,320
34615,936,4666,922,316
34618,5894,5469,351,737
34619,5894,5225,522,453
34619,5699,5354,446,590
34620,5894,5188,555,406
34620,5699,5024,667,241
34621,5894,4929,709,202
34621,5699,4670,932,313
34622,51,5286,487,516
34622,5894,4710,889,272
34623,51,5222,537,439
34623,2588,5075,1216,325
34624,1045,5453,363,717
34624,51,5220,531,442
34624,2588,4897,779,151
34625,1045,5221,526,448
34625,2588,4696,361,613
34625,51,5161,574,376
34626,1045,4976,696,208
34626,51,4925,765,150
34627,1045,4675,916,307
34627,51,5085,1166,280
34629,5074,5475,344,747
34630,5074,5247,510,475
34631,5074,5201,543,422
34631,4187,5256,506,483
34632,4187,4812,783,208
34632,5074,4973,703,201
34633,5074,4726,881,256
34633,4187,4567,966,418
34641,4365,4718,854,267
34642,4365,4844,773,190
34643,4365,4899,732,190
34644,3264,5415,406,661
34644,4365,5230,493,480
34645,3264,5095,630,297
34646,3264,4958,711,194
34647,3264,4956,717,189
34648,3264,4953,715,191
34649,3264,4958,723,183
34650,3264,4909,761,160
34651,3264,4665,947,319
34652,1191,4784,1102,278
34653,1191,4570,994,421
34657,0,5094,1249,362
34658,0,4874,740,196
34659,3916,5398,402,652
34660,3916,5226,531,446
34660,1624,4565,984,424
34661,1624,4877,756,182
34661,3916,5172,564,390
34662,3916,4904,746,176
34662,1624,5135,562,375
34663,3916,4645,935,338
34665,4854,4722,866,262
34665,4030,5485,338,758
34666,4854,4874,758,181
34666,4030,5258,514,478
34667,4854,4945,713,194
34667,4030,5140,591,350
34668,4030,4874,787,159
34668,4854,5243,487,492
34669,4030,4570,997,421
34671,3779,4842,1251,373
34672,3779,4690,916,292
34673,6792,4589,972,398
34674,6792,4890,752,177
34675,2208,5101,415,503
34675,6792,4922,785,134
34676,6792,5080,1171,284
34676,2208,5144,504,431
34676,3872,5412,390,670
34677,3872,5212,543,428
34677,2208,5201,601,374
34678,3872,5212,543,428
34678,2208,5352,1028,390
34678,2603,5485,332,762
34679,2208,5432,1299,598
34679,2603,5198,547,418
34679,3872,5142,582,360
34680,2603,4966,713,191
34680,4714,5354,789,390
34680,3872,4882,761,174
34681,2603,4685,905,296
34681,3872,4559,955,425
34681,4714,5202,589,384
34682,4714,4923,676,235
34683,4714,4919,703,210
34684,4714,4919,703,210
34684,1625,5306,475,537
34685,1625,5185,562,398
34685,4714,4721,864,263
34686,1625,4892,775,157
34687,1625,4519,1032,480
34690,4206,4791,814,211
34691,4206,4821,777,205
34691,2028,4682,903,299
34692,2028,5061,626,289
34692,4206,5030,613,295
34693,4206,5327,435,583
34693,2028,5392,388,659
34703,1118,5256,518,474
34704,1118,5035,676,234
34705,6516,4690,876,293
34705,1118,4680,934,303
34706,6516,4863,711,226
34707,6516,4802,537,408
34708,6516,4888,748,182
34709,6516,4632,955,352
34714,172,5378,409,634
34715,172,5064,636,281
34716,172,4702,901,279
34722,6264,4732,905,249
34722,4793,4604,947,380
34723,4793,4847,783,181
34723,6264,4890,773,159
34724,3168,5479,342,751
34724,6264,5238,502,477
34724,4793,4626,957,359
34725,3168,5198,564,403
34726,3168,5306,831,332
34727,3168,5370,1133,451
34736,1266,4912,763,157
34736,3841,4752,841,238
34737,1266,5015,1015,115
34737,3841,4841,789,182
34738,3841,4842,789,181
34739,3841,4925,719,193
34740,3841,5251,471,510
34740,1416,4619,976,369
34741,1416,4844,748,208
34742,1416,4834,773,197
34743,1416,4834,773,197
34744,1416,4834,773,197
34745,1416,4928,721,191
34746,1416,5302,446,559
34748,6331,4523,1009,470
34749,6331,4776,827,219
34750,769,5452,369,712
34750,6331,4841,775,191
34750,5493,4505,1021,490
34751,5493,4818,798,194
34751,6331,4884,742,189
34751,769,5191,556,406
34752,6331,5119,566,365
34752,5175,5216,541,432
34752,5493,5021,643,264
34752,769,4927,777,138
34753,769,5090,1202,316
34753,6331,5465,324,755
34753,5175,4964,721,184
34753,5493,5353,415,614
34754,5175,4944,740,168
34755,5175,4944,738,170
34756,4088,5246,514,471
34756,5175,4944,738,170
34757,5175,4877,787,157
34757,4088,5161,568,381
34758,5175,4597,980,391
34758,4088,4858,794,165
34759,4088,4513,1044,489
34779,5101,5082,1243,353
34780,5101,4915,848,86
34780,1626,4725,874,258
34781,1626,4905,738,182
34781,5101,4636,963,350
34782,1626,5185,533,423
34783,6517,4651,922,331
34783,1626,5472,334,752
34784,6517,4839,783,187
34785,6517,4844,781,184
34786,6517,4845,781,183
34787,6517,4892,752,177
34788,752,4667,916,314
34788,6517,5185,543,414
34789,752,4933,798,116
34790,752,5116,1278,396
34791,3089,4565,982,423
34792,3089,4794,816,207
34793,3089,4857,773,181
34794,3089,4887,760,173
34795,4550,4667,908,314
34795,3089,4925,787,130
34796,4550,4849,775,185
34796,3089,5080,1164,277
34797,4550,4849,775,185
34798,4291,5495,344,760
34798,4550,4849,775,185
34799,4291,5163,585,367
34799,4550,4912,732,185
34800,4291,4863,800,157
34800,4550,5237,498,479
34801,4291,4530,1032,469
34802,373,5225,533,443
34803,373,5210,549,422
34804,373,5211,549,423
34805,373,5099,630,298
34806,373,4698,903,283
34807,6477,5105,1284,398
34808,6477,4912,804,122
34809,6223,4726,322,635
34809,6477,4730,415,550
34810,6223,4828,537,398
34810,2280,5255,526,467
34811,6223,5086,1195,308
34811,2280,5197,562,404
34812,2280,4930,711,200
34813,2280,4670,937,313
34823,5305,4989,994,89
34824,5305,4905,783,143
34826,4490,4688,906,293
34827,4490,4860,682,253
34828,6651,5238,531,453
34828,4490,4784,843,206
34829,4490,4516,1042,485
34829,4748,5496,330,771
34829,6651,5157,585,364
34830,6651,4802,835,192
34830,4748,5150,578,367
34831,4748,4927,694,217
34832,4292,5303,481,531
34832,4748,4925,688,223
34833,4292,5215,543,430
34833,4748,4923,686,226
34834,4292,5216,541,432
34834,4748,4923,686,226
34835,4292,5100,624,304
34835,4748,4857,767,185
34836,4292,4823,816,181
34836,4748,4599,984,391
34840,770,5313,469,547
34841,770,5091,628,297
34842,770,4757,868,227
34843,2209,5390,408,643
34844,2209,5154,585,362
34845,2209,4954,738,168
34846,2209,4953,734,172
34847,2209,4953,734,172
34848,2209,4953,734,172
34848,4514,4746,866,238
34849,4514,4855,789,171
34849,2209,4917,758,160
34849,261,5085,1233,344
34850,4514,4855,789,171
34850,2209,4742,876,241
34850,261,4899,775,153
34851,261,4730,390,572
34851,4514,4855,789,171
34852,6269,5009,1092,189
34852,4514,4855,789,171
34853,4514,4903,750,173
34853,6269,4878,794,151
34854,6269,4743,870,240
34854,4514,5182,545,411
34857,260,5417,400,666
34858,260,5207,549,421
34859,260,5099,616,311
34859,6362,5046,1135,239
34860,6362,4899,808,126
34860,4715,4771,456,495
34860,260,4847,794,174
34861,6362,4726,891,256
34861,4715,4966,901,15
34861,260,4566,992,424
34862,2295,4565,986,424
34863,2295,4811,806,197
34863,1459,5051,1177,281
34864,1459,4919,848,83
34864,2295,4843,783,184
34865,1459,4727,877,255
34865,2295,4894,748,179
34866,2295,5152,562,382
34869,5102,5473,361,732
34870,5102,5215,566,410
34870,6079,5243,522,463
34871,5102,5091,645,281
34871,6079,5100,620,307
34871,3033,5358,421,612
34872,5102,4847,825,156
34872,6079,4813,823,186
34872,3033,5005,690,215
34873,3033,4932,730,181
34874,3033,4938,725,185
34875,3033,4938,725,185
34876,3033,4938,725,185
34876,6418,4556,992,434
34877,3033,4888,761,170
34877,6418,4812,804,197
34878,6418,5067,624,293
34878,3033,4561,1001,431
34879,6418,5343,417,606
34881,2844,4994,1088,184
34882,986,4978,1017,112
34882,3034,5429,388,683
34882,2844,4857,800,162
34883,986,4808,835,186
