Time,Car,X,Y,"Distance to BS(4982,905)"
181,3870,4739,845,249
181,4904,5041,319,588
182,3870,4802,794,210
183,3870,4833,765,203
184,3870,4993,667,238
185,3870,5344,409,613
195,4174,5055,1173,278
196,4174,4909,814,116
196,958,4888,760,172
197,958,4814,599,348
197,4174,4909,814,116
198,4174,4909,814,116
198,3349,4690,877,293
199,3349,4853,765,189
199,4174,4908,769,154
199,5117,4546,1005,446
200,4174,4915,754,164
200,3349,4852,771,186
200,5117,4813,819,188
201,5117,4852,787,175
201,4174,5120,589,344
201,3349,4852,771,186
202,5117,4974,690,214
202,3349,4943,700,208
202,4174,5334,437,586
203,5117,5273,460,531
203,3349,5313,425,583
205,3139,4592,963,393
206,3139,4843,777,188
207,3139,4844,777,187
208,3139,4961,688,217
209,3139,5149,498,439
220,1485,4651,928,331
221,1485,5023,649,258
222,1485,5400,377,673
224,1811,4540,1003,452
225,1811,4817,808,190
226,1811,4883,760,175
227,1811,4883,767,169
227,2916,4839,773,193
228,3846,4715,872,268
228,1811,4950,839,72
228,4216,4748,1024,262
228,2916,4983,672,232
229,4216,4627,959,358
229,3846,4845,756,201
229,2916,5428,369,697
229,1811,5116,1286,404
230,3846,4845,756,201
230,4815,5059,1198,303
231,4815,4902,816,119
231,3846,4844,754,203
231,2703,4797,1133,293
232,2703,4796,1115,281
232,2049,4526,999,465
232,4815,4900,810,124
232,1464,5091,1253,365
232,3846,4998,642,263
233,3846,5423,330,724
233,2703,4701,920,281
233,4815,4900,810,124
233,1464,4913,852,86
233,2049,4803,814,200
234,4815,4904,773,152
234,1464,4907,833,103
234,2703,4525,1021,471
234,2049,4843,783,184
235,1464,4897,775,154
235,2049,4843,783,184
235,4815,4904,773,152
236,4815,5070,607,310
236,2049,4991,678,226
236,1464,4902,789,140
237,4815,5343,419,605
237,1464,5089,597,325
237,2049,5379,375,662
238,1464,5075,355,557
244,845,5264,510,485
244,3616,4650,918,332
245,3140,5102,614,314
245,3616,4892,750,178
245,845,4945,742,166
246,845,4633,949,350
246,3616,5013,980,81
246,3140,4923,730,183
247,3616,5243,1258,440
247,3140,4930,725,186
248,3140,4930,729,183
249,3140,4934,730,180
250,3512,5014,1046,144
250,3140,4688,910,293
251,3512,4801,527,418
252,1891,4686,906,295
253,1891,4852,775,183
253,4047,4565,995,426
254,1891,4848,773,187
254,4047,4811,800,200
255,4047,4823,789,196
255,1891,4848,775,186
256,1891,4888,748,182
256,4047,4905,734,186
257,4047,5156,556,389
257,1891,4900,754,171
258,1891,4971,866,39
258,4187,4635,914,346
259,1891,5116,1247,367
259,4187,4841,769,195
260,4187,4841,769,195
261,4187,4841,769,195
262,4187,4970,690,214
263,4187,5316,419,589
272,199,4653,912,328
272,4678,5369,413,625
273,4678,5198,541,423
273,199,4838,800,177
274,4678,5198,541,423
274,199,4930,729,183
274,1995,4586,957,398
275,4678,5198,541,423
275,199,5271,469,522
275,1995,4782,821,216
276,1995,4865,690,243
276,4678,5198,541,423
277,4678,5087,394,521
277,1995,4776,502,451
278,1995,4713,342,623
278,1491,4671,901,310
279,1491,4807,808,199
279,1995,4789,504,443
280,1491,4864,767,180
280,1995,4875,680,248
281,2279,4708,939,275
281,930,4525,1017,470
281,1491,5256,479,506
281,1995,4870,684,246
281,3219,5237,522,460
282,930,4806,812,198
282,2279,4708,939,275
282,3219,4976,730,174
282,1995,4872,684,246
283,1995,4884,730,199
283,2279,4708,937,275
283,930,4850,777,182
283,3219,4933,734,176
284,1995,4883,740,191
284,2279,4708,937,275
284,3219,4933,734,176
284,930,4850,777,182
285,3219,4933,734,176
285,930,4850,777,182
285,2279,4611,984,378
285,1995,4733,879,249
286,3219,4817,814,188
286,1995,4500,1050,502
286,930,5020,647,260
287,3219,4589,1001,404
287,930,5383,386,655
289,1001,4503,1028,494
290,1001,4841,777,190
291,1001,5160,551,396
293,2683,4752,408,547
