Time,Car,X,Y,"Distance to BS(4982,905)"
25925,4010,5150,574,370
25926,4010,4816,792,200
25929,2489,5339,442,584
25930,2489,5216,533,439
25931,2489,5044,659,253
25932,2489,4712,895,269
25933,3702,5447,353,721
25934,3702,5212,535,435
25935,3702,5287,781,329
25936,1224,5378,1175,480
25936,3702,5374,1168,472
25937,1224,5321,889,339
25938,1224,5203,616,363
25939,2118,4848,771,188
25939,1224,5198,605,369
25940,1224,5197,603,370
25940,2118,4855,769,184
25941,3125,4951,920,33
25941,1224,5296,458,546
25941,2118,4857,773,181
25942,2118,4857,769,184
25942,3125,4902,881,83
25942,1527,4658,912,323
25943,2118,5010,645,260
25943,1527,4678,891,303
25944,1527,4677,889,304
25944,2118,5374,390,647
25945,2914,4693,877,289
25945,1527,4758,843,231
25946,1527,4838,773,194
25946,2914,4855,769,184
25946,4183,4778,790,233
25947,2914,4854,767,187
25947,4183,4833,754,211
25947,1527,4837,767,199
25948,4183,4833,754,211
25948,2914,4855,767,186
25948,1527,4836,765,201
25949,1527,5029,616,291
25949,4183,4979,636,268
25949,4884,4656,920,325
25949,2914,4893,752,176
25950,2914,4890,752,177
25950,4183,5382,363,673
25950,1527,5126,464,463
25950,4884,4907,746,175
25951,2914,5038,1048,153
25951,4884,5055,1079,188
25954,3545,5452,375,708
25954,4173,4668,912,313
25955,3545,5205,545,423
25955,4173,4983,686,218
25956,4604,5010,669,237
25956,3545,4994,692,213
25956,4173,5357,419,613
25957,4604,4944,725,183
25957,3545,4687,901,294
25958,3327,4650,968,337
25958,4604,4943,729,180
25959,4577,5375,437,611
25959,4604,4937,734,175
25959,3327,4862,800,158
25960,3327,4860,796,162
25960,4604,4932,738,173
25960,4577,5197,551,414
25961,4577,5185,560,399
25961,4604,4721,883,261
25961,3327,5004,684,221
25961,338,5467,363,726
25962,338,5165,589,364
25962,3327,5318,456,560
25962,4577,5183,566,394
25963,338,4935,752,159
25963,4577,5188,568,394
25964,338,5092,1137,257
25964,4577,5190,568,395
25965,2353,5472,355,735
25965,4577,5065,340,570
25966,2353,5110,614,317
25966,1333,5094,1237,351
25967,1333,4919,831,96
25967,2353,4963,723,182
25967,3660,4665,910,316
25968,2353,4963,721,184
25968,3660,5009,645,260
25968,1333,4873,705,226
25969,3660,5268,458,530
25969,2353,4963,721,184
25970,2353,4963,723,182
25971,2353,4823,821,178
25972,2353,4541,1019,454
25972,3883,4676,901,305
25973,3883,4949,696,211
25974,3883,5131,551,384
25978,4954,4715,324,638
25979,4954,4922,750,165
25980,4954,5101,1257,371
25981,3093,4530,1005,462
25982,3093,4819,798,193
25983,3093,4834,787,188
25984,3093,4834,787,188
25985,3093,4914,738,179
25986,3093,5119,585,347
25987,3093,5043,663,249
25988,3093,5029,674,234
25989,3093,5018,642,265
25990,4290,5338,450,577
25990,3093,5150,562,381
25990,4517,5370,425,617
25991,3093,5349,419,608
25991,4517,5210,537,432
25991,4290,5079,638,283
25992,4517,5210,537,432
25992,4290,4774,856,212
25993,4517,5210,537,432
25994,2365,4692,891,289
25994,4517,5099,398,519
25995,4517,5059,413,497
25995,2365,4852,773,184
25996,2365,4849,781,181
25997,2365,4894,742,184
25998,2365,4894,742,184
25999,2365,5054,1077,186
25999,4021,4610,945,373
26000,3415,5147,533,406
26000,4021,4829,773,201
26001,3415,5264,765,315
26001,4021,4839,767,197
26002,4340,5455,348,731
26002,3415,5370,1131,450
26002,4021,4842,767,195
26003,4340,5210,524,444
26003,4021,4899,721,201
26004,4340,5210,526,442
26004,4021,5207,487,474
26005,4340,5210,524,444
26006,4340,4975,694,210
26007,4340,4666,914,315
26009,3894,4708,1237,430
26009,1431,5106,518,406
26009,4848,4596,961,389
26010,1431,5367,400,634
26010,3894,4733,1214,396
26010,1855,5024,1115,215
26010,4848,4860,777,175
26011,3894,4735,1005,266
26011,1855,4885,796,144
26011,4848,4942,798,113
26012,3894,4506,1055,498
26012,4848,4942,800,111
26012,1855,4605,972,382
26013,4848,4945,800,110
26014,4848,4947,798,111
26015,4848,4949,802,107
26016,4848,4948,800,109
26017,4848,4947,802,108
26018,4848,4945,804,106
26019,4848,4959,835,73
26020,4848,5104,1208,327
26021,721,4541,986,447
26022,721,4875,738,197
26023,721,5105,582,345
26024,721,5217,636,357
26025,721,5354,771,395
26032,392,4949,876,43
26033,392,4904,773,152
26034,392,4725,351,609
26034,4361,4544,994,446
26034,4749,4914,959,86
26035,4749,5071,1144,256
26035,4361,4945,806,105
26035,3200,5469,336,748
26036,4361,5094,1175,293
26036,3200,5215,539,433
26037,3200,5216,541,432
26038,3200,5216,541,432
26039,3200,5045,655,257
26040,3200,4781,852,207
26040,1485,4678,895,303
26041,1485,4872,723,212
26042,2657,5142,489,445
26042,2108,5278,500,501
26042,1485,4767,512,447
26043,2657,5106,613,317
26043,1485,4754,469,490
26043,2108,5221,545,432
26044,2657,4940,723,186
26044,1485,4754,469,490
26044,2108,5222,545,432
26045,1485,4741,479,488
26045,2108,5015,690,217
26045,2657,4822,814,183
26046,2657,4615,976,373
26046,2108,4735,891,247
26046,1485,4741,485,483
26047,4641,5054,1158,263
26047,1485,4728,495,481
26048,4641,4857,686,251
26048,1485,4776,487,465
26049,4330,5384,417,632
26049,1485,4781,483,466
26050,1463,4743,371,584
26050,4330,5215,539,433
26050,1485,4781,483,466
26051,4330,5117,607,327
26051,1485,4781,483,466
26051,1463,5040,1050,156
26052,1485,4781,483,466
26052,4970,5389,1195,500
26052,4330,4818,818,185
26053,4970,5277,781,320
26053,1485,4793,477,467
26054,1485,4809,467,469
26054,4970,5208,607,374
26055,2332,4625,939,358
26055,4970,5119,456,469
26055,1485,4809,467,469
26056,1485,4804,487,453
26056,2332,4812,796,201
26057,2332,4960,690,215
26057,1485,4878,649,275
26058,3149,4742,1023,267
26058,1485,4878,649,275
26058,2332,5349,409,616
26059,3149,4529,1028,469
26059,1485,4878,649,275
26060,1485,4889,709,216
26061,1485,4872,754,186
26062,1485,4635,924,347
26067,1118,5418,386,677
26068,1118,5200,539,425
26069,1118,5074,622,296
26070,1118,4767,839,224
26073,3621,5066,1189,296
26074,3621,4912,798,127
26075,3621,4913,802,123
26076,3621,4913,802,123
26077,3621,4913,800,124
26078,3621,4915,763,155
26078,2552,4809,535,407
26079,3621,4918,746,170
26079,2552,4988,941,37
26080,3621,5132,595,344
26080,2552,5104,1253,368
26081,3621,5362,411,622
26085,2526,5079,1218,328
26086,2526,4887,746,184
26086,2425,4529,1009,464
26086,136,4988,992,87
26087,136,4786,531,421
26087,2425,4843,783,184
26088,2425,4850,775,184
26089,2425,4850,775,184
26089,348,4779,835,213
26089,840,4836,796,181
26090,840,4854,785,174
26090,2425,4857,767,185
26090,348,4855,779,177
26091,840,4854,785,174
26091,348,4854,779,178
26091,2425,4857,767,185
26092,2425,5044,620,290
26092,840,4854,785,174
26092,348,4857,783,174
26093,2425,5409,367,686
26093,348,4894,752,175
26093,840,4893,758,171
26093,697,4576,966,410
26094,348,4895,750,177
26094,697,4874,752,186
26094,840,4903,756,168
26095,697,5150,529,411
26095,840,5033,1023,128
26095,348,5006,964,64
26096,697,5049,324,583
26099,3150,5390,351,687
26100,3336,4661,1295,505
26100,3150,4969,614,290
26101,3336,4980,1015,110
26101,3150,4887,657,265
26101,1455,4622,935,360
26102,3336,4934,887,50
26102,3150,4887,657,265
26102,1455,4814,800,197
26103,1455,4855,792,168
26103,3150,4904,676,240
26103,3336,4842,802,173
26104,1455,4857,794,166
26104,3150,4904,676,240
26104,3336,4839,806,173
26105,1455,4948,719,188
26105,3336,4841,802,174
26105,3150,4847,771,189
26106,1455,5132,566,370
26106,3336,4836,804,177
