Time,Car,X,Y,"Distance to BS(4982,905)"
8651,200,5121,442,482
8652,200,5136,473,458
8653,200,5136,473,458
8654,200,5177,560,395
8655,200,4959,725,181
8656,200,4922,754,162
8657,200,4922,754,162
8658,200,4797,549,400
8659,200,4735,359,598
8660,200,4768,431,519
8661,2408,5082,373,541
8661,200,4903,713,206
8662,200,5052,1077,186
8662,3461,5183,549,409
8662,2408,5142,497,438
8663,3461,4771,841,220
8663,2408,5140,485,448
8664,2408,5139,479,453
8665,2408,5139,479,453
8666,2408,5145,574,368
8667,2408,4943,723,185
8668,2408,4813,812,192
8671,5271,5018,1061,160
8671,1791,4595,961,390
8672,1791,4845,769,191
8672,5271,4829,605,336
8672,4811,4808,1168,315
8673,1791,4833,777,195
8673,4811,4808,1168,315
8674,4645,5412,398,664
8674,4751,4970,988,83
8674,1791,4890,729,198
8674,4811,4808,1168,315
8675,4751,4847,796,172
8675,1791,5157,541,403
8675,4645,5024,676,232
8675,4811,4728,970,261
8676,4645,4944,736,172
8676,4811,4510,1036,489
8676,4631,4631,951,353
8676,1791,5457,336,740
8677,4645,4944,736,172
8677,4631,4879,651,273
8678,4645,4942,738,171
8678,4631,4730,348,611
8679,4631,4763,357,589
8679,4645,4942,738,171
8680,4631,4837,448,478
8680,4645,4799,839,193
8681,4631,4756,553,418
8682,4631,4742,605,383
8683,4631,4735,613,382
8684,4631,4812,526,415
8685,4631,4793,539,411
8686,4631,4819,512,424
8687,2301,4629,937,354
8687,4631,4791,524,426
8688,2301,4943,819,93
8688,4631,4806,715,258
8689,4631,4974,727,178
8689,2301,5096,1216,331
8690,4631,5154,531,410
8691,4631,5055,326,582
8691,465,4686,899,295
8692,465,4868,769,176
8692,1781,5255,485,500
8693,465,4892,754,175
8693,1781,4899,730,192
8694,2650,5036,1108,210
8694,1781,4545,980,443
8694,465,4948,818,93
8695,465,5085,1168,282
8695,2650,5001,1040,136
8696,2650,4924,866,69
8696,3223,5293,489,519
8697,3223,5216,535,437
8697,2650,4803,837,190
8698,3223,5016,674,232
8699,3223,4764,856,222
8714,2420,4722,1249,431
8715,2420,4955,1075,172
8717,5446,5176,533,419
8718,5446,4515,1017,479
8723,957,5195,549,414
8723,3093,5252,512,476
8724,957,4978,705,199
8724,5023,4847,787,179
8724,3093,4988,703,201
8724,4392,4540,988,449
8725,957,4950,719,188
8725,4392,4791,825,206
8725,3093,4965,721,184
8725,5023,5049,1067,175
8726,4392,4844,789,179
8726,3093,4964,721,184
8726,957,4949,721,186
8727,4166,4735,864,250
8727,957,4949,725,182
8727,4392,4837,792,183
8727,4622,5061,1218,323
8727,3093,4964,721,184
8728,4166,4844,783,183
8728,957,4910,740,179
8728,3093,4893,763,166
8728,4392,4852,783,177
8728,4622,4877,725,208
8729,957,4701,916,280
8729,3093,4641,949,343
8729,4622,4877,725,208
8729,4166,4843,783,184
8729,4392,4899,794,137
8730,4392,4947,814,97
8730,4166,4917,732,183
